table_name,ID,es,SE,CI,mde_05,mde_50
TF_MA,1,0.501,0.065,"0.373, 0.630",0.183,0.239
TF_MA,2,0.576,0.041,"0.495, 0.657",0.116,0.151
TF_MA,3,0.339,0.074,"0.194, 0.483",0.206,0.269
TF_MA,4,0.128,0.064,"0.003, 0.253",0.178,0.232
TF_MA,5,0.887,0.145,"0.603, 1.170",0.405,0.528
TF_MA,6,0.304,0.07,"0.166, 0.442",0.197,0.257
TF_MA,7,0.722,0.047,"0.630, 0.815",0.132,0.172
TF_MA,8,0.513,0.045,"0.425, 0.601",0.126,0.164
TF_MA,9,0.224,0.038,"0.150, 0.297",0.105,0.137
TF_MA,10,0.236,0.066,"0.107, 0.365",0.184,0.24
TF_MA,11,0.483,0.027,"0.430, 0.535",0.075,0.098
TF_MA,12,0.056,0.017,"0.024, 0.089",0.046,0.06
TF_MA,13,0.226,0.026,"0.175, 0.276",0.072,0.093
TF_MA,14,0.382,0.043,"0.298, 0.466",0.12,0.156
TF_MA,15,0.302,0.074,"0.157, 0.447",0.207,0.27